iter,n,K,speed
17,52,1000,2.12975549
17,54,1000,2.28384521
17,56,1000,2.809741473
17,58,1000,2.478650356
17,60,1000,3.326029183
17,62,1000,3.429021369
17,64,1000,4.201660715
17,66,1000,4.638324423
17,68,1000,5.252572002
17,70,1000,6.056177114
17,72,1000,6.182310379
17,74,1000,8.875968309
17,76,1000,7.664674535
17,78,1000,9.282849043
17,80,1000,10.896967673
17,82,1000,11.081727145
17,84,1000,12.804042872
17,86,1000,14.926644602
17,88,1000,15.145038955
17,90,1000,17.295522553
17,92,1000,17.137181889
17,94,1000,21.838704492
17,96,1000,24.717359536
17,98,1000,26.734544016
17,100,1000,24.21767936
18,10,1000,0.009013451
18,12,1000,0.014089098
18,14,1000,0.101202913
18,16,1000,0.023333761
18,18,1000,0.043334703
18,20,1000,0.045471116
18,22,1000,0.086215158
18,24,1000,0.123807739
18,26,1000,0.155572915
18,28,1000,0.167669173
18,30,1000,0.260596681
18,32,1000,0.300308518
18,34,1000,0.3155803
18,36,1000,0.415659505
18,38,1000,0.580871753
18,40,1000,0.673137166
18,42,1000,1.106109544
18,44,1000,0.798348218
18,46,1000,1.181638761
18,48,1000,1.498082146
18,50,1000,1.781668421
18,52,1000,1.728608415
18,54,1000,3.160123249
18,56,1000,2.629769777
18,58,1000,3.78466918
18,60,1000,3.2963839
18,62,1000,3.080245726
18,64,1000,4.777570838
18,66,1000,4.834369136
18,68,1000,5.816733206
18,70,1000,5.66693508
18,72,1000,6.494164028
18,74,1000,8.141586953
18,76,1000,6.982132489
18,78,1000,9.625100919
18,80,1000,10.62662497
18,82,1000,11.92311242
18,84,1000,13.353002884
18,86,1000,14.621854903
18,88,1000,16.729174595
18,90,1000,17.643993818
18,92,1000,18.675766587
18,94,1000,19.07300177
18,96,1000,19.454019535
18,98,1000,23.974642578
18,100,1000,22.811509336
19,10,1000,0.00872878
19,12,1000,0.015666687
19,14,1000,0.02942779
19,16,1000,0.036047608
19,18,1000,0.041433238
19,20,1000,0.054713626
19,22,1000,0.095686841
19,24,1000,0.169060718
19,26,1000,0.093201132
19,28,1000,0.207937811
19,30,1000,0.270956279
19,32,1000,0.372370224
19,34,1000,0.35372529
19,36,1000,0.484667325
19,38,1000,0.411385121
19,40,1000,0.801456347
19,42,1000,0.924641929
19,44,1000,1.003227202
19,46,1000,2.143710743
19,48,1000,1.005616348
19,50,1000,1.431655705
19,52,1000,1.931320275
19,54,1000,2.158950349
19,56,1000,2.870962633
19,58,1000,2.644458723
19,60,1000,2.919340019
19,62,1000,3.573905607
19,64,1000,4.730372903
19,66,1000,5.603518218
19,68,1000,5.798178916
19,70,1000,5.728988019
19,72,1000,7.503786185
19,74,1000,7.935465028
19,76,1000,7.806743398
19,78,1000,9.565789706
19,80,1000,10.235227046
19,82,1000,12.35976502
19,84,1000,13.686351547
19,86,1000,14.046169027
19,88,1000,17.238778414
19,90,1000,15.218632364
19,92,1000,19.089473389
19,94,1000,20.490494063
19,96,1000,22.066686008
19,98,1000,25.561753934
19,100,1000,27.021256283
20,10,1000,0.007167929
20,12,1000,0.006546873
20,14,1000,0.089883845
20,16,1000,0.015813211
20,18,1000,0.040073611
20,20,1000,0.083138138
20,22,1000,0.070994209
20,24,1000,0.102854159
20,26,1000,0.159374765
20,28,1000,0.196401503
20,30,1000,0.145482376
20,32,1000,0.380581135
20,34,1000,0.370941862
20,36,1000,0.395396064
20,38,1000,0.562031474
20,40,1000,0.663179828
20,42,1000,0.761573698
20,44,1000,1.21299889
20,46,1000,1.426508004
20,48,1000,1.431918456
20,50,1000,1.828544643
20,52,1000,1.836625818
20,54,1000,2.493283054
20,56,1000,3.010353484
20,58,1000,3.270724044
20,60,1000,4.781763184
20,62,1000,5.046987427
20,64,1000,5.548777784
20,66,1000,5.820354267
20,68,1000,5.989121508
20,70,1000,8.487610423
20,72,1000,7.275421317
20,74,1000,8.465063966
20,76,1000,8.414945401
20,78,1000,11.45835388
20,80,1000,9.294461799
20,82,1000,10.660036433
20,84,1000,11.696595571
20,86,1000,11.078061582
20,88,1000,14.962857528
20,90,1000,13.636326702
20,92,1000,15.32799902
20,94,1000,14.16268456
20,96,1000,19.54592332
20,98,1000,22.765076482
20,100,1000,22.556070986
21,10,1000,0.009228545
21,12,1000,0.018017792
21,14,1000,0.023200989
21,16,1000,0.017841708
21,18,1000,0.058313888
21,20,1000,0.053216596
21,22,1000,0.111666334
21,24,1000,0.088521169
21,26,1000,0.13909062
21,28,1000,0.191350039
21,30,1000,0.164008322
21,32,1000,0.388585158
21,34,1000,0.355147409
21,36,1000,0.486293161
21,38,1000,0.514404913
21,40,1000,0.653405292
21,42,1000,0.808313645
21,44,1000,1.00566594
21,46,1000,1.169723863
21,48,1000,1.233804186
21,50,1000,1.613687091
21,52,1000,1.639733178
21,54,1000,2.302351505
21,56,1000,1.941495169
21,58,1000,2.648973444
21,60,1000,2.904633335
21,62,1000,3.663645737
21,64,1000,3.811732506
21,66,1000,4.496747353
21,68,1000,4.554451343
21,70,1000,5.599075613
21,72,1000,5.824639176
21,74,1000,6.194236486
21,76,1000,8.285333291
21,78,1000,7.266042248
21,80,1000,10.904336202
21,82,1000,8.4519323
21,84,1000,11.462054106
21,86,1000,10.986980638
21,88,1000,12.238083042
21,90,1000,14.529498146
21,92,1000,16.762039226
21,94,1000,23.234641798
21,96,1000,23.712787673
21,98,1000,29.188374404
21,100,1000,28.898247341
22,10,1000,0.004805575
22,12,1000,0.009774509
22,14,1000,0.026136861
