iter,max_previous_assortment,best_case_revenue,upper_bound,n,time,rev_ordered
87,5065.622750306908,8380.275069004443,7670.604694393898,10,0.585071053,reverse_rev_ordered
87,4394.278614517488,9221.969244330818,8339.385187504842,15,2.152445111,other
88,6009.084640220846,6052.505500572628,6723.308461246873,10,0.744204359,rev_ordered
88,5210.543121794156,8016.485447729653,7564.782891431162,10,0.651251116,reverse_rev_ordered
88,4880.9826458772895,9233.705845040302,8658.754343729706,15,2.203717471,other
89,4048.8026212179034,4431.810244120037,4760.603183255066,10,0.625446146,rev_ordered
89,5363.410927268993,8328.142938901863,7813.177748671724,10,0.584309683,reverse_rev_ordered
89,5792.914736033491,8132.068771731822,7608.582490466865,15,1.991480763,other
90,6876.788378837139,7133.597269881258,7625.844815743718,10,0.605370875,rev_ordered
90,5153.261583497885,8868.148387267163,8002.075767903498,10,0.565554752,reverse_rev_ordered
90,5536.130381841311,9005.213635242013,8493.224500672779,15,2.085243293,other
91,6941.991193264079,7482.729078311479,7996.751675754972,10,0.616895638,rev_ordered
91,4633.084965572448,7622.598097535429,6905.391745287588,10,0.583326222,reverse_rev_ordered
91,5904.734090176378,9671.130741220568,8920.880603280635,15,2.133938638,other
92,7202.649577786422,7641.03859744878,8148.998947528987,10,0.639834969,rev_ordered
92,5814.522076409503,9300.349115456036,8457.361810644254,10,0.641939074,reverse_rev_ordered
92,4463.6504594988055,9181.505652825506,8134.517977011661,15,2.275317626,other
93,7203.291248810925,7716.842864846227,7961.075031091876,10,0.619290823,rev_ordered
93,5306.78262875926,7979.652734779398,7505.289492010412,10,0.62527281,reverse_rev_ordered
93,5445.5938196353945,8698.640312666235,8358.476219247475,15,2.324181449,other
94,6755.928979940682,7330.904664077562,7889.0269082709665,10,0.592139025,rev_ordered
94,5360.503108311974,8817.008495886737,8250.77995044425,10,0.606066242,reverse_rev_ordered
94,4542.607539686426,8841.39257547121,7911.806497898331,15,2.374090092,other
95,7028.266711897562,7120.67338967143,7648.244387389611,10,0.657804909,rev_ordered
95,4235.90352875652,7126.472989328262,6216.248408745064,10,0.665292831,reverse_rev_ordered
95,6762.0656921003865,8377.910264915858,8266.99852673597,15,2.290130031,other
96,7137.904431247958,7347.996509569564,7793.517036931431,10,0.682393283,rev_ordered
96,5326.3853638410055,7819.36818064976,7585.508703253181,10,0.644439485,reverse_rev_ordered
96,4977.845814217233,9567.06657491396,8414.602544064146,15,2.224428419,other
97,7171.757323348516,7874.922527364341,8445.369243789884,10,0.689893702,rev_ordered
97,4888.4887991164005,7551.619657343477,6941.4479735758505,10,0.597361282,reverse_rev_ordered
97,5140.60323853655,9665.67475641958,8167.70115800886,15,2.267765326,other
98,6766.936627258358,6987.1764640784895,7247.853212361394,10,0.697941098,rev_ordered
98,4301.220877114463,5751.207839715501,5047.691777150599,10,0.592558713,reverse_rev_ordered
98,6648.127837711796,8842.895591438724,8424.447272066165,15,2.254669689,other
99,7360.436865757601,7502.060316858144,7742.66223965544,10,0.644677001,rev_ordered
99,6670.570688318267,8540.613542431574,8306.971991304272,10,0.680860289,reverse_rev_ordered
99,5754.322964756141,9579.205732420985,8411.825382790936,15,2.252344253,other
100,4440.601838207331,4782.829076707875,5277.611615145487,10,0.615434193,rev_ordered
100,5944.6464743939305,8789.659986079994,8500.64116483363,10,0.626215023,reverse_rev_ordered
100,4532.055550124991,9333.67940616442,8708.17929737223,15,2.300559126,other
