iter,n,K,speed
11,14,1000,0.028698042
11,16,1000,0.02102505
11,18,1000,0.045274884
11,20,1000,0.06706641
11,22,1000,0.12607218
11,24,1000,0.152717835
11,26,1000,0.284273315
11,28,1000,0.164152002
11,30,1000,0.428616443
11,32,1000,0.303645131
11,34,1000,0.477779794
11,36,1000,0.543937941
11,38,1000,0.532250143
11,40,1000,0.833666661
11,42,1000,0.87419663
11,44,1000,1.113951275
11,46,1000,1.458550347
11,48,1000,1.378976642
11,50,1000,1.718396734
11,52,1000,1.765386258
11,54,1000,2.256063515
11,56,1000,2.390541023
11,58,1000,3.034450323
11,60,1000,3.231690334
11,62,1000,3.923612051
11,64,1000,4.106492531
11,66,1000,3.631002267
11,68,1000,4.88723743
11,70,1000,5.189102112
11,72,1000,5.691145082
11,74,1000,6.300709954
11,76,1000,8.454009606
11,78,1000,7.982918905
11,80,1000,9.147325032
11,82,1000,11.34329488
11,84,1000,11.322513723
11,86,1000,14.660831469
11,88,1000,14.606928228
11,90,1000,17.269968485
11,92,1000,16.588817258
11,94,1000,19.827766745
11,96,1000,19.477772408
11,98,1000,28.743905339
11,100,1000,40.015292445
12,10,1000,0.025749134
12,12,1000,0.032992402
12,14,1000,0.04164985
12,16,1000,0.044200239
12,18,1000,0.036972887
12,20,1000,0.120184015
12,22,1000,0.194005567
12,24,1000,0.074831512
12,26,1000,0.127377787
12,28,1000,0.274691681
12,30,1000,0.33662776
12,32,1000,0.254520805
12,34,1000,0.389568421
12,36,1000,0.425647476
12,38,1000,0.809723239
12,40,1000,0.785020525
12,42,1000,0.853338223
12,44,1000,1.602972247
12,46,1000,1.571712111
12,48,1000,1.585417054
12,50,1000,2.285350158
12,52,1000,2.390954742
12,54,1000,2.752129493
12,56,1000,3.02345837
12,58,1000,3.601450532
12,60,1000,4.669157081
12,62,1000,5.552172704
12,64,1000,5.572075743
12,66,1000,4.649893643
12,68,1000,5.676694818
12,70,1000,7.780911526
12,72,1000,6.573883841
12,74,1000,7.931684079
12,76,1000,7.803484999
12,78,1000,11.1273249
12,80,1000,11.009502471
12,82,1000,12.100660784
12,84,1000,13.451933875
12,86,1000,15.75954412
12,88,1000,16.785588336
12,90,1000,18.381476701
12,92,1000,25.843656841
12,94,1000,24.423992265
12,96,1000,26.393841449
12,98,1000,29.6956602
12,100,1000,32.249196183
13,10,1000,0.01335034
13,12,1000,0.033814119
13,14,1000,0.049772669
13,16,1000,0.026478311
13,18,1000,0.080877473
13,20,1000,0.191663123
13,22,1000,0.150735226
13,24,1000,0.183239843
13,26,1000,0.251648314
13,28,1000,0.317579665
13,30,1000,0.215115107
13,32,1000,0.460920437
13,34,1000,0.500745213
13,36,1000,0.51668961
13,38,1000,1.061891021
13,40,1000,1.161443196
13,42,1000,1.459813819
13,44,1000,1.321227869
13,46,1000,2.043943895
13,48,1000,2.67682931
13,50,1000,1.947826419
13,52,1000,2.989466998
13,54,1000,2.292770051
13,56,1000,2.717396065
13,58,1000,2.430965669
13,60,1000,3.330353585
13,62,1000,4.749304646
13,64,1000,3.87501184
13,66,1000,5.802215622
13,68,1000,6.193380937
13,70,1000,8.251056828
13,72,1000,9.246611741
13,74,1000,8.608906974
13,76,1000,9.560076818
13,78,1000,11.187490658
13,80,1000,12.473465173
13,82,1000,13.475219637
13,84,1000,15.188803327
13,86,1000,17.010837153
13,88,1000,19.056446067
13,90,1000,19.701754839
13,92,1000,22.58703053
13,94,1000,24.238349985
13,96,1000,27.959562786
13,98,1000,29.353244653
13,100,1000,32.562047655
14,10,1000,0.014866051
14,12,1000,0.027700315
14,14,1000,0.037655083
14,16,1000,0.033101169
14,18,1000,0.070221883
14,20,1000,0.063000044
14,22,1000,0.097564314
14,24,1000,0.263157753
14,26,1000,0.244885166
14,28,1000,0.325006561
14,30,1000,0.318213913
14,32,1000,0.430936395
14,34,1000,0.621629877
14,36,1000,0.57539304
14,38,1000,0.692350403
14,40,1000,1.010092866
14,42,1000,1.413102297
14,44,1000,1.529146311
14,46,1000,1.241052586
14,48,1000,1.989112232
14,50,1000,2.146781749
14,52,1000,2.073996313
14,54,1000,3.984090642
14,56,1000,2.943501186
14,58,1000,3.282796349
14,60,1000,4.241937464
14,62,1000,4.626742331
14,64,1000,5.851788829
14,66,1000,6.732149443
14,68,1000,6.483256999
14,70,1000,8.060404304
14,72,1000,7.507175216
14,74,1000,8.746669031
14,76,1000,9.974276797
14,78,1000,12.941742875
14,80,1000,12.382198226
14,82,1000,12.015182141
14,84,1000,15.101317043
14,86,1000,16.835924211
14,88,1000,21.653740887
14,90,1000,21.389163457
14,92,1000,21.549634695
14,94,1000,24.421740716
14,96,1000,29.653731167
14,98,1000,28.63863004
14,100,1000,34.854401942
15,10,1000,0.023192583
15,12,1000,0.013690931
15,14,1000,0.01228572
15,16,1000,0.055823544
15,18,1000,0.079061632
15,20,1000,0.07654025
15,22,1000,0.12276698
15,24,1000,0.130548836
15,26,1000,0.224372883
15,28,1000,0.337477168
15,30,1000,0.258037061
15,32,1000,0.5390396
15,34,1000,0.558177766
15,36,1000,0.755789319
15,38,1000,0.602169015
15,40,1000,0.840338992
15,42,1000,1.045563317
15,44,1000,1.302610165
15,46,1000,1.748124577
15,48,1000,1.937717085
15,50,1000,2.153554802
15,52,1000,2.337271305
15,54,1000,3.055458071
15,56,1000,3.448726266
15,58,1000,3.60221685
15,60,1000,4.594651722
15,62,1000,4.389350743
15,64,1000,5.404813827
15,66,1000,5.129840671
15,68,1000,6.132551267
15,70,1000,8.103617393
15,72,1000,8.312057925
15,74,1000,8.693837627
15,76,1000,8.621126314
15,78,1000,10.46957154
15,80,1000,10.92517289
15,82,1000,14.147055005
15,84,1000,14.230110055
15,86,1000,16.255097183
15,88,1000,16.981690372
15,90,1000,22.366689296
15,92,1000,22.859583459
15,94,1000,26.741752461
15,96,1000,34.920400515
15,98,1000,34.373585849
15,100,1000,32.94004968
16,10,1000,0.015485326
16,12,1000,0.054641601
16,14,1000,0.049067609
16,16,1000,0.09266395
16,18,1000,0.126657334
16,20,1000,0.047066918
16,22,1000,0.112633385
16,24,1000,0.162249378
16,26,1000,0.137077784
16,28,1000,0.373563139
16,30,1000,0.277874987
16,32,1000,0.450208189
16,34,1000,0.418093648
16,36,1000,0.62227719
16,38,1000,0.758385527
16,40,1000,0.884220007
16,42,1000,1.138526213
16,44,1000,0.912152637
16,46,1000,1.380497562
16,48,1000,2.330151551
16,50,1000,2.167615598
16,52,1000,2.773951955
16,54,1000,2.861374481
16,56,1000,3.39174643
16,58,1000,3.938087502
16,60,1000,3.357941739
16,62,1000,4.189601156
16,64,1000,5.960017548
16,66,1000,6.182026703
16,68,1000,6.711701002
16,70,1000,7.757035138
16,72,1000,8.413535421
16,74,1000,8.646493319
16,76,1000,8.991491876
16,78,1000,10.956331634
16,80,1000,12.523635748
16,82,1000,14.452025518
16,84,1000,14.053634106
16,86,1000,15.441970337
16,88,1000,16.127372147
16,90,1000,20.595436019
16,92,1000,23.064196133
16,94,1000,24.558353203
16,96,1000,24.585483548
16,98,1000,27.84526444
16,100,1000,31.177618819
17,10,1000,0.011438868
17,12,1000,0.032831163
17,14,1000,0.034942904
17,16,1000,0.05392773
17,18,1000,0.040728141
17,20,1000,0.112376074
17,22,1000,0.08948157
17,24,1000,0.128268541
17,26,1000,0.26750214
17,28,1000,0.262782841
17,30,1000,0.424142843
17,32,1000,0.494889674
17,34,1000,0.599662993
17,36,1000,0.562967085
17,38,1000,0.979984631
17,40,1000,0.861375391
17,42,1000,1.174397187
17,44,1000,1.237921722
17,46,1000,1.628074421
17,48,1000,1.841670322
17,50,1000,2.308714927
17,52,1000,2.470001664
17,54,1000,2.555693676
17,56,1000,3.624835698
17,58,1000,3.611122556
17,60,1000,4.303626133
17,62,1000,4.436133947
17,64,1000,4.907085404
17,66,1000,6.000723326
17,68,1000,6.401360309
